HHID,ORIGIN_OF_TRIP,DESTINATION_OF_TRIP,TT_WALK,WALKABILITY_INDEX,TT_CYCLE,BIKEABILITY_INDEX,TT_PT,FARE_PT,WT_PT,AT_PT,AC_PT,TT_CAR,FC_CAR,PC_CAR,CC_CAR,INCOME,GENDER,AGE,CAR_OWNERSHIP,CHOSEN_MODE,AV_WALK,AV_CYCLE,AV_PT,AV_CAR
67,7,1,35,3,29,81,53,7,6,24,1,18,1,8,9,78,0,60,0,1,1,1,1,1
68,7,6,14,70,25,52,43,2,16,6,4,31,2,6,3,57,0,43,0,1,1,1,1,1
69,9,9,52,87,14,41,37,6,6,7,4,52,1,5,10,69,1,22,1,2,1,1,1,1
70,2,4,55,38,54,3,20,2,5,24,3,24,2,4,10,94,1,66,0,1,1,1,1,1
71,2,2,50,6,53,57,54,3,10,12,1,49,1,5,3,74,1,25,0,2,1,1,1,1
72,3,9,35,50,51,1,52,4,11,23,0,12,1,5,4,48,0,20,1,1,1,1,1,1
73,7,9,46,97,17,48,17,7,17,11,1,16,3,2,8,17,0,22,0,2,1,1,1,1
74,1,7,50,41,58,64,37,6,13,20,2,15,1,1,10,49,1,53,0,4,1,1,1,1
75,9,6,31,84,49,68,50,3,13,12,2,24,1,6,2,83,0,19,1,1,1,1,1,1
76,8,7,42,4,54,82,14,7,20,22,4,51,1,7,5,59,1,33,0,1,1,1,1,1
77,1,4,59,62,26,18,22,7,19,5,0,47,3,7,4,28,1,61,1,2,1,1,1,1
78,8,1,16,99,10,53,50,1,14,6,4,28,3,8,6,24,1,43,0,1,1,1,1,1
79,1,2,59,99,15,46,30,6,5,27,2,46,3,8,2,38,1,30,1,2,1,1,1,1
80,4,6,36,65,30,42,44,1,8,26,2,11,1,1,8,49,0,31,1,4,1,1,1,1
81,9,2,25,19,50,57,45,6,12,6,1,33,1,5,2,40,1,30,1,1,1,1,1,1
82,3,7,26,95,57,60,24,4,5,19,1,19,2,7,10,25,0,18,0,1,1,1,1,1
83,1,6,22,44,35,56,56,7,3,26,3,19,3,3,6,42,0,18,1,1,1,1,1,1
84,8,9,15,27,41,61,17,4,17,6,3,54,2,3,8,11,0,33,1,2,1,1,1,1
85,5,8,14,57,56,49,46,2,12,23,4,18,2,3,5,89,0,67,1,1,1,1,1,1
86,6,1,38,39,14,67,33,6,15,25,0,59,2,5,10,64,0,50,0,2,1,1,1,1
87,4,2,38,59,13,94,53,4,4,19,5,12,2,8,2,97,1,54,1,4,1,1,1,1
88,5,3,10,79,40,64,34,2,17,27,3,53,2,4,9,22,1,33,1,1,1,1,1,1
89,7,3,29,33,19,73,39,2,18,16,4,39,2,3,10,39,0,32,1,2,1,1,1,1
90,2,7,32,70,52,97,38,3,12,9,4,46,2,5,7,30,0,34,0,1,1,1,1,1
91,5,9,55,86,57,48,29,7,16,22,2,35,1,2,9,97,1,68,0,4,1,1,1,1
92,7,5,17,11,42,26,11,2,7,12,1,14,1,6,5,65,0,33,1,1,1,1,1,1
93,2,6,18,1,50,100,49,3,6,25,2,35,1,1,3,64,1,30,1,1,1,1,1,1
94,5,5,37,14,28,45,46,7,17,23,4,10,1,5,6,31,0,22,1,4,1,1,1,1
95,5,8,60,87,16,95,41,6,8,30,1,15,2,8,2,11,1,68,0,2,1,1,1,1
96,3,1,30,9,19,13,35,1,13,26,3,56,3,7,10,91,1,54,1,2,1,1,1,1
97,1,6,56,89,36,39,24,4,20,5,5,16,2,2,4,91,0,54,1,4,1,1,1,1
98,4,7,31,55,60,57,22,6,17,17,5,44,3,6,7,29,0,69,0,1,1,1,1,1
99,4,3,39,30,56,55,33,1,4,16,4,14,3,5,4,48,1,38,0,2,1,1,1,1
100,9,9,32,28,22,45,43,4,5,11,3,52,1,8,3,50,1,47,0,2,1,1,1,1
101,8,9,39,4,30,83,54,3,13,12,2,18,1,8,7,58,0,56,0,1,1,1,1,1
102,4,6,30,32,23,46,49,7,13,12,0,50,3,1,7,70,1,39,1,2,1,1,1,1
103,3,1,43,21,57,34,34,3,12,15,1,35,2,1,3,50,1,67,1,1,1,1,1,1
104,9,3,43,91,45,40,42,7,4,16,4,11,2,2,5,74,0,28,0,4,1,1,1,1
105,8,1,50,92,18,50,45,7,10,23,5,50,3,2,2,41,1,30,0,2,1,1,1,1
106,2,3,58,49,59,26,48,5,13,9,5,14,2,6,7,90,1,34,0,4,1,1,1,1
107,3,2,55,86,53,7,26,5,7,12,0,34,1,3,8,14,0,58,1,2,1,1,1,1
108,8,2,52,59,52,65,32,6,15,11,1,30,3,6,9,31,0,18,0,2,1,1,1,1
109,4,7,12,93,14,12,39,5,18,8,3,38,3,7,2,29,0,21,0,1,1,1,1,1
110,5,4,44,23,34,37,50,3,6,28,4,13,1,2,10,51,1,64,0,4,1,1,1,1
111,2,6,27,11,39,95,28,4,20,23,4,44,1,1,8,60,1,60,0,1,1,1,1,1
112,6,3,34,39,24,57,15,6,17,23,1,31,2,3,5,66,1,61,0,4,1,1,1,1
113,7,5,17,65,14,65,24,3,14,7,1,23,2,3,10,82,0,67,1,1,1,1,1,1
114,3,6,47,42,47,11,49,5,2,23,4,21,1,4,5,30,1,21,1,1,1,1,1,1
115,6,2,38,12,30,39,52,5,10,5,2,21,3,7,6,71,1,56,0,2,1,1,1,1
116,6,8,12,28,11,28,57,1,11,5,1,48,2,6,6,41,0,36,1,1,1,1,1,1
117,8,2,20,77,28,56,44,1,20,19,3,13,3,5,5,22,1,51,0,1,1,1,1,1
118,6,1,52,83,55,86,12,1,16,26,2,51,2,1,10,45,0,53,1,2,1,1,1,1
119,1,4,50,64,38,69,33,5,17,21,0,57,1,8,10,71,1,25,0,2,1,1,1,1
120,2,1,48,79,28,43,26,6,16,13,1,51,3,8,2,74,1,32,0,2,1,1,1,1
121,1,4,55,36,30,91,21,6,7,20,0,40,2,4,3,83,1,24,0,2,1,1,1,1
122,8,2,56,93,57,93,40,2,15,11,0,16,2,4,10,34,1,43,0,2,1,1,1,1
123,1,8,22,41,60,44,20,3,2,16,1,10,3,5,8,82,1,42,1,4,1,1,1,1
124,6,1,22,44,30,63,54,2,17,26,4,46,2,1,8,60,0,56,1,1,1,1,1,1
125,2,2,28,24,15,41,25,7,4,11,0,52,2,6,6,68,0,31,0,2,1,1,1,1
126,3,4,58,27,53,38,21,4,4,9,0,40,1,1,10,22,1,58,0,1,1,1,1,1
127,5,6,33,33,58,70,26,2,6,12,2,60,3,4,8,79,0,41,1,1,1,1,1,1
128,5,8,57,81,49,17,44,1,17,12,2,28,3,5,7,19,0,45,0,4,1,1,1,1
129,7,2,46,89,10,59,55,6,11,27,1,24,1,4,3,66,0,67,1,2,1,1,1,1
130,5,9,31,18,28,40,15,2,12,8,3,20,3,4,6,78,1,21,0,3,1,1,1,1
131,5,1,39,98,26,62,17,4,3,15,5,15,3,8,5,27,0,35,0,2,1,1,1,1
132,7,4,59,3,16,73,47,4,14,29,5,14,3,1,10,28,1,28,1,2,1,1,1,1
133,4,9,54,4,22,32,53,7,11,24,2,10,3,8,4,79,0,58,0,2,1,1,1,1
134,5,9,15,69,58,56,55,6,19,26,3,10,3,3,10,29,0,24,1,1,1,1,1,1
135,6,5,37,18,23,55,15,7,13,14,0,17,1,2,4,38,0,43,0,2,1,1,1,1
136,1,5,16,52,40,41,33,2,20,19,1,19,3,7,5,100,1,48,1,4,1,1,1,1
137,1,5,20,78,33,71,29,5,5,28,1,32,1,3,6,82,0,46,1,1,1,1,1,1
138,5,9,11,57,37,57,15,2,8,14,5,19,3,4,10,75,0,55,1,1,1,1,1,1
139,5,4,59,24,26,1,31,5,5,11,1,49,2,8,5,81,1,33,1,2,1,1,1,1
140,8,5,48,64,19,84,26,6,20,9,3,46,2,4,6,16,0,66,0,2,1,1,1,1
141,4,8,27,19,40,97,18,3,7,23,3,32,3,4,8,92,1,23,0,1,1,1,1,1
142,9,2,45,76,51,67,55,3,16,14,2,40,2,7,9,21,0,44,1,2,1,1,1,1
143,4,5,31,81,44,34,36,3,11,6,3,42,1,6,8,67,0,57,0,1,1,1,1,1
144,9,8,29,8,51,55,60,1,8,11,3,25,2,4,8,93,0,67,0,1,1,1,1,1
145,1,3,12,45,33,81,27,2,13,16,0,50,3,4,7,78,0,47,0,1,1,1,1,1
146,8,1,11,86,25,11,52,3,3,29,5,43,2,5,2,71,0,39,0,1,1,1,1,1
147,6,2,49,77,50,5,26,3,9,11,4,54,2,3,10,22,0,31,1,2,1,1,1,1
148,9,5,35,12,29,95,31,3,14,17,5,39,3,1,3,67,1,52,0,2,1,1,1,1
149,5,7,57,80,26,48,51,5,10,12,5,13,1,4,10,27,0,19,1,2,1,1,1,1
150,3,2,56,51,12,28,35,3,10,21,1,54,1,3,3,71,1,54,0,1,1,1,1,1
151,3,1,16,91,14,20,11,4,8,8,4,32,1,6,4,80,1,25,0,1,1,1,1,1
152,8,9,50,26,15,7,58,6,19,19,1,33,1,7,6,26,1,30,1,2,1,1,1,1
153,7,9,16,6,40,60,26,4,15,23,1,38,1,2,10,50,1,43,1,4,1,1,1,1
154,6,3,38,54,28,49,53,3,6,6,1,32,1,2,5,61,0,50,1,2,1,1,1,1
155,9,9,30,31,21,95,33,2,4,20,3,54,2,7,9,14,0,57,1,2,1,1,1,1
156,9,1,27,5,35,74,19,5,4,28,0,35,3,4,3,15,1,32,1,2,1,1,1,1
157,9,8,30,99,20,55,33,6,9,29,0,34,2,8,7,36,1,58,1,1,1,1,1,1
158,6,2,40,33,53,30,19,1,15,26,4,22,2,4,4,30,1,27,0,1,1,1,1,1
159,9,9,27,37,14,40,35,3,20,6,3,60,3,6,7,28,0,24,1,2,1,1,1,1
160,7,2,18,23,38,53,45,5,15,24,2,39,2,5,5,32,0,63,0,1,1,1,1,1
161,4,6,22,51,42,74,40,4,3,17,3,45,1,3,10,63,0,40,1,1,1,1,1,1
162,8,3,28,57,54,44,37,7,3,28,5,50,1,3,5,81,1,46,0,1,1,1,1,1
163,5,6,48,55,59,48,11,5,17,29,3,56,2,1,5,10,1,33,0,4,1,1,1,1
164,3,3,43,92,56,91,17,6,3,29,0,55,1,1,10,80,1,32,0,1,1,1,1,1
165,5,5,14,41,18,54,16,6,4,6,5,38,3,4,8,13,1,28,1,1,1,1,1,1
166,7,8,20,76,26,25,37,4,18,11,1,14,1,1,2,93,0,44,1,4,1,1,1,1
167,9,1,23,88,28,6,34,7,14,20,1,54,2,7,3,64,0,40,1,1,1,1,1,1
168,8,7,11,58,28,28,40,3,4,10,1,60,2,7,6,63,1,54,0,1,1,1,1,1
169,7,5,33,95,26,56,33,2,12,13,4,51,2,5,4,90,1,36,1,2,1,1,1,1
170,4,7,39,3,30,40,44,1,17,9,1,27,1,4,10,52,1,43,0,2,1,1,1,1
171,7,7,33,68,46,87,24,1,5,21,4,47,3,5,3,100,1,46,1,1,1,1,1,1
172,1,4,54,17,43,99,15,4,2,14,1,27,1,3,3,58,1,46,0,4,1,1,1,1
173,4,4,24,44,33,13,47,7,20,29,4,59,3,8,7,10,1,49,1,1,1,1,1,1
174,9,6,22,33,58,12,38,5,2,11,4,12,2,3,10,40,0,66,0,1,1,1,1,1
175,3,4,60,52,43,25,59,4,19,18,2,56,1,7,7,37,1,23,0,2,1,1,1,1
176,2,3,22,88,20,44,23,6,3,6,1,21,1,5,3,84,0,67,1,1,1,1,1,1
177,3,5,30,47,35,16,54,3,4,19,3,25,1,1,2,58,0,57,0,1,1,1,1,1
178,6,4,27,22,17,1,35,1,14,6,2,50,3,6,7,46,0,65,0,1,1,1,1,1
179,3,5,17,17,15,14,30,4,11,5,3,26,1,6,4,65,1,40,1,2,1,1,1,1
180,6,6,25,36,57,88,49,1,20,20,3,45,2,8,5,86,0,53,1,1,1,1,1,1
181,2,6,45,72,46,51,17,1,15,26,5,33,3,7,4,81,1,33,1,1,1,1,1,1
182,8,9,49,19,29,17,15,3,5,28,1,59,2,8,5,11,1,50,0,1,1,1,1,1
183,1,8,12,68,43,77,51,1,2,14,1,10,3,8,5,79,0,49,1,1,1,1,1,1
184,8,2,17,75,47,91,31,4,7,20,4,50,3,7,10,22,0,38,0,1,1,1,1,1
185,4,8,38,47,51,56,14,6,4,27,4,31,2,1,8,83,1,20,0,1,1,1,1,1
186,9,5,19,100,52,92,39,7,16,25,5,58,3,2,9,46,0,42,1,1,1,1,1,1
187,2,5,10,3,57,91,58,7,7,8,3,46,3,1,5,36,1,70,1,1,1,1,1,1
188,3,6,42,60,23,63,25,5,9,16,1,26,2,1,5,43,1,54,0,2,1,1,1,1
189,8,3,52,53,26,39,29,2,3,26,4,43,3,1,4,56,0,52,0,2,1,1,1,1
190,7,2,23,20,44,73,59,1,4,5,0,49,3,2,5,63,0,60,1,1,1,1,1,1
191,2,5,37,52,20,86,10,2,11,19,5,28,1,5,8,93,1,61,1,2,1,1,1,1
192,3,3,42,48,54,1,39,6,15,16,3,54,2,1,7,89,0,48,1,1,1,1,1,1
193,3,2,35,82,47,25,38,4,18,16,3,51,3,4,10,49,1,60,1,2,1,1,1,1
194,9,5,42,65,16,24,39,5,14,10,4,12,2,5,8,92,1,41,0,2,1,1,1,1
195,3,1,15,15,58,33,60,6,10,19,1,29,1,5,3,84,1,40,0,1,1,1,1,1
196,8,7,54,89,39,12,41,1,12,14,5,56,3,3,9,72,1,23,0,2,1,1,1,1
197,1,9,37,66,57,14,38,4,15,26,2,19,3,4,5,97,0,45,1,1,1,1,1,1
198,7,1,26,70,23,93,12,5,14,10,5,45,2,4,3,14,1,64,0,1,1,1,1,1
199,2,3,18,63,53,30,40,4,19,19,1,23,3,6,10,47,1,49,0,1,1,1,1,1
200,2,1,57,97,49,100,48,3,16,26,4,23,1,2,6,20,0,59,1,4,1,1,1,1
201,7,4,39,84,52,60,27,4,5,8,0,48,2,6,9,73,1,52,1,1,1,1,1,1
202,3,1,43,24,33,4,41,6,6,19,0,55,2,5,6,49,1,47,1,1,1,1,1,1
203,2,5,33,62,53,98,45,3,7,7,5,50,2,3,2,97,0,23,1,1,1,1,1,1
204,8,5,59,25,53,73,27,2,10,23,4,47,1,7,6,81,0,40,0,2,1,1,1,1
205,8,7,42,46,54,97,33,4,8,10,3,43,2,4,3,57,0,21,0,1,1,1,1,1
206,1,4,44,53,35,48,22,3,12,12,5,25,2,7,8,59,1,20,1,1,1,1,1,1
207,5,8,10,9,26,52,22,5,12,30,5,35,3,1,10,49,0,49,0,1,1,1,1,1
208,1,9,38,60,10,63,15,2,18,21,5,51,1,7,9,64,0,69,0,2,1,1,1,1
209,6,4,11,26,31,96,31,5,8,11,0,29,3,7,2,86,0,30,1,2,1,1,1,1
210,6,3,11,52,44,7,38,3,10,29,2,57,2,7,3,100,1,18,1,1,1,1,1,1
211,5,4,31,3,33,25,47,7,12,17,4,60,1,4,10,66,1,49,0,1,1,1,1,1
212,3,5,43,85,15,96,35,1,20,16,0,15,1,4,8,27,0,50,1,2,1,1,1,1
213,8,3,38,58,44,87,17,6,16,23,0,43,3,3,4,75,0,48,0,1,1,1,1,1
214,5,3,35,74,26,77,33,3,14,11,0,41,1,8,3,84,1,30,0,1,1,1,1,1
215,4,6,47,50,10,22,39,7,6,9,4,33,1,7,10,72,0,49,0,2,1,1,1,1
216,7,9,56,69,60,12,10,6,6,26,1,53,1,3,5,18,1,54,1,4,1,1,1,1
217,7,4,44,27,20,58,10,7,7,30,0,42,2,5,9,100,1,48,0,2,1,1,1,1
218,4,9,50,85,35,5,19,6,5,24,4,36,3,1,3,28,0,30,1,1,1,1,1,1
219,6,7,35,54,39,51,19,4,12,24,1,57,2,7,5,59,0,60,1,2,1,1,1,1
220,5,9,56,90,22,32,33,5,5,7,1,10,2,6,10,34,1,66,0,4,1,1,1,1
221,7,8,52,8,60,49,41,7,12,29,3,13,2,5,4,53,1,69,0,4,1,1,1,1
222,9,2,49,92,49,99,26,2,6,14,5,50,1,6,4,12,1,33,0,1,1,1,1,1
223,6,9,49,56,54,40,18,5,13,29,5,52,1,2,10,15,1,58,1,2,1,1,1,1
224,8,1,50,46,23,61,44,4,10,24,3,28,3,8,9,41,1,28,1,2,1,1,1,1
225,1,8,26,74,45,61,51,7,13,6,3,25,2,5,6,29,0,46,0,2,1,1,1,1
226,9,4,53,79,25,2,14,7,13,12,3,17,3,5,7,97,1,25,0,4,1,1,1,1
227,8,5,28,29,50,7,44,6,12,23,5,28,3,8,4,78,1,64,0,1,1,1,1,1
228,6,8,60,33,32,20,38,4,16,27,0,11,2,7,8,64,0,64,0,4,1,1,1,1
229,5,2,54,24,43,96,24,5,6,24,3,52,2,6,3,69,0,57,1,2,1,1,1,1
230,7,4,36,63,36,24,43,2,4,29,0,34,1,3,2,42,1,60,1,1,1,1,1,1
231,9,8,49,17,22,62,37,1,8,25,3,52,2,3,7,20,0,32,0,2,1,1,1,1
232,5,2,50,72,40,22,29,4,10,26,4,53,3,6,10,20,0,61,0,1,1,1,1,1
233,4,6,15,48,16,37,52,3,17,14,0,26,3,4,6,69,1,37,0,2,1,1,1,1
234,2,4,31,20,15,60,57,3,4,29,1,43,3,7,6,100,1,34,1,1,1,1,1,1
235,3,5,34,34,55,37,16,1,3,23,1,40,2,5,5,86,0,44,1,3,1,1,1,1
236,3,2,17,65,57,8,23,4,10,26,3,42,2,4,10,90,1,61,0,1,1,1,1,1
237,5,8,40,62,37,16,32,1,4,13,1,40,2,2,2,72,0,20,1,4,1,1,1,1
238,6,4,26,71,48,98,37,1,15,15,0,25,3,3,5,61,0,54,1,1,1,1,1,1
239,5,5,23,54,28,27,19,4,18,27,5,36,2,3,7,56,1,40,0,1,1,1,1,1
240,3,3,34,24,15,39,39,1,18,17,3,21,1,5,8,45,1,43,0,2,1,1,1,1
241,6,3,14,29,29,24,50,4,9,24,4,15,1,6,9,50,0,61,0,2,1,1,1,1
242,4,4,37,30,12,94,23,7,13,23,4,32,1,7,4,26,0,50,1,4,1,1,1,1
243,9,7,45,95,14,33,10,5,19,17,4,49,2,1,8,53,0,28,1,1,1,1,1,1
244,2,1,19,7,27,53,46,3,12,10,2,39,3,1,7,43,0,24,0,1,1,1,1,1
245,6,3,33,13,36,15,32,2,9,25,3,31,2,4,4,19,1,60,0,2,1,1,1,1
246,2,5,38,25,28,56,12,4,5,25,4,48,3,6,4,10,0,35,0,2,1,1,1,1
247,4,4,52,83,28,16,44,2,8,15,5,17,2,5,3,74,0,50,0,2,1,1,1,1
248,2,9,60,42,14,79,13,4,8,21,2,58,1,1,3,10,1,31,1,2,1,1,1,1
249,5,1,30,59,24,51,13,3,4,28,2,57,3,1,2,43,1,68,1,2,1,1,1,1
250,5,2,36,35,31,42,54,5,18,18,0,53,1,1,4,22,1,59,0,1,1,1,1,1
251,1,2,45,15,40,28,13,5,3,27,0,10,2,6,2,11,0,30,1,1,1,1,1,1
252,5,6,50,36,36,77,13,7,20,23,5,35,1,1,7,76,0,62,1,2,1,1,1,1
253,1,1,46,57,12,14,37,2,14,13,0,59,1,7,2,43,0,55,0,2,1,1,1,1
254,2,7,12,47,18,51,34,2,11,30,1,46,2,5,6,37,0,60,0,1,1,1,1,1
255,4,9,32,37,42,37,32,4,11,11,3,22,3,7,7,13,1,64,0,1,1,1,1,1
256,7,1,22,92,11,20,56,4,9,27,3,32,1,5,7,20,0,40,0,2,1,1,1,1
257,9,8,42,34,52,59,41,3,5,26,4,33,3,6,7,71,1,68,1,4,1,1,1,1
258,9,5,22,12,24,32,55,4,16,27,3,11,3,7,4,90,1,23,0,2,1,1,1,1
259,8,7,43,65,12,3,17,7,9,24,1,60,3,2,2,16,1,67,1,2,1,1,1,1
260,5,3,30,8,38,67,30,4,3,9,4,48,1,4,5,45,1,53,1,1,1,1,1,1
261,9,8,34,79,13,78,53,1,4,12,4,48,3,6,2,22,0,59,1,2,1,1,1,1
262,7,3,11,82,44,96,22,6,18,22,2,59,3,7,2,30,0,63,1,1,1,1,1,1
263,6,1,19,90,57,16,59,3,14,17,2,22,3,1,6,91,1,67,0,1,1,1,1,1
264,2,1,21,59,58,91,49,6,20,20,5,36,3,8,6,40,0,68,1,1,1,1,1,1
265,6,4,28,89,60,41,48,6,20,28,3,30,1,3,8,62,1,31,0,1,1,1,1,1
266,4,2,54,94,31,10,57,6,9,17,0,59,3,1,2,99,0,68,1,2,1,1,1,1
267,9,3,17,63,32,78,16,3,14,7,0,14,3,4,9,69,0,43,0,3,1,1,1,1
268,4,4,18,45,28,27,16,2,4,14,4,24,2,1,3,76,1,49,1,4,1,1,1,1
269,6,1,50,86,10,30,39,2,2,29,1,38,2,2,6,24,1,61,0,4,1,1,1,1
270,8,7,56,64,47,39,56,1,19,8,0,44,1,6,2,95,1,27,1,1,1,1,1,1
271,5,4,23,55,12,7,14,6,4,27,3,12,1,5,9,72,1,38,1,1,1,1,1,1
